estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(7,(5,(((4,((2,3):0.25981663513318276,1):0.7583156656639404):1.5183251874088755,(((20)#H27:::1.0,(((13,14):0.45472763442350644,(15,16):0.4711560511556188):1.2238978370523514,((19,(18,17):2.120590970686105):0.21070007152869213,#H27:::0.0):1.5307771324546679e-6):1.6753853872735984):0.6388979235607359,#H21:8.62886728654015::0.47242238504393896):0.0):1.5662248015172993,(8,(((9)#H25:::0.5673814233809104,(12,(#H25:::0.43261857661908965,(11,10):0.044166679908427355):0.003436710743420243):1.5743392051727827):0.00042112586071132416)#H21:1.2301431083883019::0.527577614956061):6.342848718202926e-6):0.8007668813559454):0.7406683840495996,6);",300,4,0.0,1.0,1,94766.438141858,16,4,0.2639217033333333,20,3,3,med,5
"((2,3):0.0014248009252927866,1,(4,((20,(((18,17):1.73646807394758,(19)#H25:::0.6132236893898557):0.44813754969743624,(#H25:::0.3867763106101443,((14,(13,#H35:0.15615082363951127::0.12359741850625906):8.182043013858321e-7):0.8188976943747363,((15,16):0.3112702555695473)#H35:0.8159673849430022::0.876402581493741):0.1999118524606063):1.355179410289207):1.3561684773412372):0.5634931545206392,(((10,(11,12):0.007378369758607592):0.8463847260836892,(9,#H21:7.179080745651006::0.21466658532269206):0.0039182585152981):1.0198542755818039,(((5,(6,7):0.707561300775742):0.7697436879368407,8):0.0)#H21:1.8731395551117316::0.7853334146773079):0.3860890292613957):1.4016624553730856):0.974701331383275);",300,4,0.0,1.0,1,84607.731363932,10,0,0.27607855000000003,20,3,3,med,15
"((4,((2,1):0.20730200510181593,(3,#H21:6.558387327344484::0.004275945767883):1.451587146689002):0.6989199841713962):1.5457942486855563,((((17,18):1.6771379652417624,(19)#H25:::0.8255290180921967):0.4475312505624305,((13,14):0.6037234741451426,(16,(15,#H25:::0.17447098190780327):2.0357122378728624e-6):0.5084024686356211):1.9501094602201512):1.1979219736928604,20):0.6243923421006616,(((8,(5,(7,6):0.8195072011941918):0.601862033661316):0.839035577113299,(#H23:5.4291767519982336e-5::0.34509393177485903,(9,(11,((12,10):4.960587227003531e-7)#H23:2.6387079934074967e-5::0.654906068225141):9.996975945293979):0.0):0.7432334309506471):6.587309551120761e-6)#H21:0.6169120102789001::0.995724054232117);",300,4,0.0,1.0,1,93026.215936017,12,4,0.2605883666666667,20,3,3,med,18
"(8,((9,(((((1,2):0.21216333640460533,(3,#H35:::0.0):0.0004473295459789298):0.5773882664245195,(4)#H35:::1.0):2.5777494158251177)#H21:1.3219567220527858e-15::0.8148263581405581,((11,12):0.19035917453253925,10):1.4382728712856725):3.740475293658525e-17):7.758729012917441e-16,((((18,17):2.5679481838180553,19):0.13773083145282355,((13,14):0.8053982258069233,(16,(15,#H21:7.234120130193341e-14::0.18517364185944182):2.3672437446091276e-15):0.2851062883890593):1.3536393786483327):2.6097628887952027,20):1.270334361359719):0.9644670724788657,((7,(6)#H27:::1.0):0.7635659257061066,(5,#H27:::0.0):0.7635659257061066):0.5327774907139335);",300,4,0.0,1.0,1,126904.914616503,18,6,0.2570589333333334,20,3,3,med,7
"(17,(18,#H25:0.0::0.1897317376174188):6.061774709307264e-8,(((14,13):0.8184659056140492,(16,15):0.6332249265954001):1.2583793427603696,((19,(((((2,3):0.13256327316506897,1):0.7762117889262877,4):1.3848742884323166,((#H21:::0.3688206266834192,(#H23:::0.4310620447225901,((12,11):0.10506129129580379,(10,(9)#H23:::0.5689379552774099):1.4705515243240707e-7):1.673460778277333):4.564308314567217e-6):3.376962164343352e-12,((7,6):0.8605628175189823,(5,(8)#H21:::0.6311793733165808):1.1160995611560393e-7):1.7106524602257496):0.6387486299259035):0.7076709530571299,20):1.4046219597231453):0.0)#H25:9.351032333748297e-9::0.8102682623825812):5.895390928529958);",300,4,0.0,1.0,1,104660.272187022,18,6,0.26450992333333334,20,3,3,med,22
"(((((17,18):2.632783268546572,(19,((15,16):0.7479012798848083,(14,(13)#H21:1.6916232417528706e-6::0.9691565006470542):0.6854591202855179):1.2192595615633572):0.30184541648101465):1.2656660669989062,#H21:0.0018488667667790662::0.030843499352945815):0.0)#H25:2.5::0.6758054126584958,20,((#H25:0.0::0.32419458734150425,(4,((2,1):0.15681807873096518,3):0.8631980588866172):1.6327035986147127):9.342283871125029e-17,((((6,7):0.4191702651512642,5):0.9641291740458439,8):0.7048454795076515,((12,(11,(10)#H31:::0.8216231811129395):0.17789864689257767):1.0984118105369305,(9,#H31:::0.17837681888706042):0.0):0.6879288184740713):0.5935462036443797):1.4236613757832677);",300,4,0.0,1.0,1,81812.346397461,12,6,0.2735294933333334,20,3,3,med,32
"((10,11):0.13562406621880593,12,(9,(((20,((((15,16):0.6857332033580136,(13,14):0.9975367686639102):1.0798400517673559,((18,17):2.391113579853275,19):0.24546308771539935):0.00047390319332363284)#H21:1.785278861688792::0.9822308369159737):0.5802764125409643,(4,((1,(2,(3)#H23:::0.7465800501756451):0.2990426807925758):1.0697281769907865,#H23:::0.2534199498243549):0.0):1.6732062210795202):0.8008881757989487,((#H27:::0.4432777032941028,((7,6):0.5786476978400378,(5,(8)#H27:::0.5567222967058971):4.785756132774926e-5):1.840566591648272):5.070184420078779e-6,#H21:5.474226230018523::0.017769163084026283):2.6732076965933207e-11):0.7985716204414838):0.6682235982396406);",300,4,0.0,1.0,1,143046.570211964,12,4,0.2709804866666667,20,3,3,med,3
"((((((2,1):0.2775390629483431,3):0.8415587444256336,4):1.416866721340428,(((8,(5,((7,6):0.3404565351500701)#H23:0.31586600368750317::0.9813808392549827):0.7014059664584635):0.6512642250686063,((9)#H27:::0.8280455048862831,(10,(12,(11,#H27:::0.1719544951137169):2.017430135484794e-8):0.15925325867948745):1.1828352032118123):0.4348843400586473):9.502389716899324e-11,#H23:10.0::0.0186191607450173):0.5846479331365204):0.6210133907587335,20):1.2880828944758713,((17,18):1.406121988464055,#H21:::0.44482759438804204):0.9699698259019475,(((16,15):0.6006946696084327,(13,14):0.5528688958012444):0.6346865821494886,(19)#H21:::0.555172405611958):0.958204393119182);",300,4,0.0,1.0,1,119540.147079092,10,4,0.27843148000000006,20,3,3,med,16
"(7,(5,(((4,((2,3):0.25981663513318276,1):0.7583156656639404):1.5183251874088755,(((20)#H27:::1.0,(((13,14):0.45472763442350644,(15,16):0.4711560511556188):1.2238978370523514,((19,(18,17):2.120590970686105):0.21070007152869213,#H27:::0.0):1.5307771324546679e-6):1.6753853872735984):0.6388979235607359,#H21:8.62886728654015::0.47242238504393896):0.0):1.5662248015172993,(8,(((9)#H25:::0.5673814233809104,(12,(#H25:::0.43261857661908965,(11,10):0.044166679908427355):0.003436710743420243):1.5743392051727827):0.00042112586071132416)#H21:1.2301431083883019::0.527577614956061):6.342848718202926e-6):0.8007668813559454):0.7406683840495996,6);",300,8,0.0,1.0,1,88169.477349615,16,4,0.2639217033333333,20,3,3,med,5
"(20,((18,17):3.151647144574757,((13,(14,((16,15):0.6122184924520638)#H25:0.530794462365387::0.7718750952808662):0.00020820779153928455):3.0320514979277666,(19,#H25:7.5::0.22812490471913388):0.06596892190735551):0.11069802865992459):2.0398468664763723,(((3,((1,2):0.2517966938771402)#H29:1.2052243633783205e-14::0.6052376979982748):3.7703791648880896,(4,#H29:2.5::0.3947623020017253):0.0):1.4973019536434196,(((((6,7):0.3537171602713794,5):0.9833208322820286,8):0.61329799594836)#H21:8.285139443400219::0.5262287276515853,(9,(((10,11):4.958428124913347e-5,12):0.7628924768388368,#H21:0.003673229819195169::0.47377127234841465):0.0):2.645824010645297):0.010348553341572782):0.7359329335827804);",300,4,0.0,1.0,1,155001.541101988,14,8,0.2531373566666667,20,3,3,med,1
